STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,INDEX,Index,TSEST,Adjustment Type,REGION,Region,FREQ,Frequency,TIME_PERIOD,Time Period,OBS_VALUE,Observation Value,UNIT_MEASURE,Unit of Measure,OBS_STATUS,Observation Status,DECIMALS,Decimals,OBS_COMMENT,Observation Comment,BASE_PERIOD,Reference Base Period
DATAFLOW,ABS:CPI_M(1.2.0),Monthly Consumer Price Index (CPI) indicator,I,1,Index Numbers,10001,All groups CPI,10,Original,50,Weighted average of eight capital cities,M,Monthly,2024-05,,123.6,,IN,Index Numbers,,,1,One,,,17,September 2017 = 100.0
DATAFLOW,ABS:CPI_M(1.2.0),Monthly Consumer Price Index (CPI) indicator,I,1,Index Numbers,10001,All groups CPI,10,Original,50,Weighted average of eight capital cities,M,Monthly,2024-06,,124.2,,IN,Index Numbers,,,1,One,,,17,September 2017 = 100.0
DATAFLOW,ABS:CPI_M(1.2.0),Monthly Consumer Price Index (CPI) indicator,I,1,Index Numbers,10001,All groups CPI,10,Original,50,Weighted average of eight capital cities,M,Monthly,2024-07,,124.2,,IN,Index Numbers,,,1,One,,,17,September 2017 = 100.0
DATAFLOW,ABS:CPI_M(1.2.0),Monthly Consumer Price Index (CPI) indicator,I,1,Index Numbers,10001,All groups CPI,10,Original,50,Weighted average of eight capital cities,M,Monthly,2023-10,,121,,IN,Index Numbers,,,1,One,,,17,September 2017 = 100.0
DATAFLOW,ABS:CPI_M(1.2.0),Monthly Consumer Price Index (CPI) indicator,I,1,Index Numbers,10001,All groups CPI,10,Original,50,Weighted average of eight capital cities,M,Monthly,2023-11,,121.4,,IN,Index Numbers,,,1,One,,,17,September 2017 = 100.0
DATAFLOW,ABS:CPI_M(1.2.0),Monthly Consumer Price Index (CPI) indicator,I,1,Index Numbers,10001,All groups CPI,10,Original,50,Weighted average of eight capital cities,M,Monthly,2023-12,,122.2,,IN,Index Numbers,,,1,One,,,17,September 2017 = 100.0
DATAFLOW,ABS:CPI_M(1.2.0),Monthly Consumer Price Index (CPI) indicator,I,1,Index Numbers,10001,All groups CPI,10,Original,50,Weighted average of eight capital cities,M,Monthly,2024-01,,121.8,,IN,Index Numbers,,,1,One,,,17,September 2017 = 100.0
DATAFLOW,ABS:CPI_M(1.2.0),Monthly Consumer Price Index (CPI) indicator,I,1,Index Numbers,10001,All groups CPI,10,Original,50,Weighted average of eight capital cities,M,Monthly,2024-02,,122,,IN,Index Numbers,,,1,One,,,17,September 2017 = 100.0
DATAFLOW,ABS:CPI_M(1.2.0),Monthly Consumer Price Index (CPI) indicator,I,1,Index Numbers,10001,All groups CPI,10,Original,50,Weighted average of eight capital cities,M,Monthly,2024-03,,122.8,,IN,Index Numbers,,,1,One,,,17,September 2017 = 100.0
DATAFLOW,ABS:CPI_M(1.2.0),Monthly Consumer Price Index (CPI) indicator,I,1,Index Numbers,10001,All groups CPI,10,Original,50,Weighted average of eight capital cities,M,Monthly,2024-08,,123.9,,IN,Index Numbers,,,1,One,,,17,September 2017 = 100.0
DATAFLOW,ABS:CPI_M(1.2.0),Monthly Consumer Price Index (CPI) indicator,I,1,Index Numbers,10001,All groups CPI,10,Original,50,Weighted average of eight capital cities,M,Monthly,2024-09,,124,,IN,Index Numbers,,,1,One,,,17,September 2017 = 100.0
DATAFLOW,ABS:CPI_M(1.2.0),Monthly Consumer Price Index (CPI) indicator,I,1,Index Numbers,10001,All groups CPI,10,Original,50,Weighted average of eight capital cities,M,Monthly,2024-10,,123.6,,IN,Index Numbers,,,1,One,,,17,September 2017 = 100.0
DATAFLOW,ABS:CPI_M(1.2.0),Monthly Consumer Price Index (CPI) indicator,I,1,Index Numbers,10001,All groups CPI,10,Original,50,Weighted average of eight capital cities,M,Monthly,2024-11,,124.2,,IN,Index Numbers,,,1,One,,,17,September 2017 = 100.0
DATAFLOW,ABS:CPI_M(1.2.0),Monthly Consumer Price Index (CPI) indicator,I,1,Index Numbers,10001,All groups CPI,10,Original,50,Weighted average of eight capital cities,M,Monthly,2024-12,,125.2,,IN,Index Numbers,,,1,One,,,17,September 2017 = 100.0
DATAFLOW,ABS:CPI_M(1.2.0),Monthly Consumer Price Index (CPI) indicator,I,1,Index Numbers,10001,All groups CPI,10,Original,50,Weighted average of eight capital cities,M,Monthly,2025-01,,124.9,,IN,Index Numbers,,,1,One,,,17,September 2017 = 100.0
DATAFLOW,ABS:CPI_M(1.2.0),Monthly Consumer Price Index (CPI) indicator,I,1,Index Numbers,10001,All groups CPI,10,Original,50,Weighted average of eight capital cities,M,Monthly,2025-02,,124.9,,IN,Index Numbers,,,1,One,,,17,September 2017 = 100.0
DATAFLOW,ABS:CPI_M(1.2.0),Monthly Consumer Price Index (CPI) indicator,I,1,Index Numbers,10001,All groups CPI,10,Original,50,Weighted average of eight capital cities,M,Monthly,2025-03,,125.7,,IN,Index Numbers,,,1,One,,,17,September 2017 = 100.0
DATAFLOW,ABS:CPI_M(1.2.0),Monthly Consumer Price Index (CPI) indicator,I,1,Index Numbers,10001,All groups CPI,10,Original,50,Weighted average of eight capital cities,M,Monthly,2025-04,,126.7,,IN,Index Numbers,,,1,One,,,17,September 2017 = 100.0
DATAFLOW,ABS:CPI_M(1.2.0),Monthly Consumer Price Index (CPI) indicator,I,1,Index Numbers,10001,All groups CPI,10,Original,50,Weighted average of eight capital cities,M,Monthly,2025-05,,126.2,,IN,Index Numbers,,,1,One,,,17,September 2017 = 100.0
DATAFLOW,ABS:CPI_M(1.2.0),Monthly Consumer Price Index (CPI) indicator,I,1,Index Numbers,10001,All groups CPI,10,Original,50,Weighted average of eight capital cities,M,Monthly,2025-06,,126.5,,IN,Index Numbers,,,1,One,,,17,September 2017 = 100.0
DATAFLOW,ABS:CPI_M(1.2.0),Monthly Consumer Price Index (CPI) indicator,I,1,Index Numbers,10001,All groups CPI,10,Original,50,Weighted average of eight capital cities,M,Monthly,2025-07,,127.7,,IN,Index Numbers,,,1,One,,,17,September 2017 = 100.0
DATAFLOW,ABS:CPI_M(1.2.0),Monthly Consumer Price Index (CPI) indicator,I,1,Index Numbers,10001,All groups CPI,10,Original,50,Weighted average of eight capital cities,M,Monthly,2023-07,,120,,IN,Index Numbers,,,1,One,,,17,September 2017 = 100.0
DATAFLOW,ABS:CPI_M(1.2.0),Monthly Consumer Price Index (CPI) indicator,I,1,Index Numbers,10001,All groups CPI,10,Original,50,Weighted average of eight capital cities,M,Monthly,2023-08,,120.7,,IN,Index Numbers,,,1,One,,,17,September 2017 = 100.0
DATAFLOW,ABS:CPI_M(1.2.0),Monthly Consumer Price Index (CPI) indicator,I,1,Index Numbers,10001,All groups CPI,10,Original,50,Weighted average of eight capital cities,M,Monthly,2023-09,,121.4,,IN,Index Numbers,,,1,One,,,17,September 2017 = 100.0
DATAFLOW,ABS:CPI_M(1.2.0),Monthly Consumer Price Index (CPI) indicator,I,1,Index Numbers,10001,All groups CPI,10,Original,50,Weighted average of eight capital cities,M,Monthly,2024-04,,123.7,,IN,Index Numbers,,,1,One,,,17,September 2017 = 100.0
